Date,ASIANPAINT.NS,AXISBANK.NS,BAJFINANCE.NS,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NESTLEIND.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,ULTRACEMCO.NS,WIPRO.NS
2020-01-01,1708.0771484375,746.22412109375,415.7171936035156,476.7811279296875,1227.4285888671875,1789.3858642578125,523.1436157226562,646.518798828125,188.25421142578125,1669.0074462890625,1194.919677734375,7020.50732421875,1394.457275390625,101.54131317138672,687.3412475585938,308.60260009765625,410.05718994140625,1988.2593994140625,3967.75732421875,119.71353912353516
2020-01-02,1705.648193359375,754.4468383789062,417.1663818359375,478.1149597167969,1235.25244140625,1790.771728515625,526.8960571289062,644.63232421875,189.63784790039062,1666.514892578125,1227.1656494140625,7037.93408203125,1389.7677001953125,101.33355712890625,699.0428466796875,313.0777282714844,410.6709289550781,1979.1319580078125,4143.255859375,120.00352478027344
2020-01-03,1668.261474609375,740.4931640625,411.9985046386719,487.70135498046875,1217.6368408203125,1780.9771728515625,525.1903686523438,654.547119140625,188.57049560546875,1652.1085205078125,1217.815673828125,6965.3447265625,1376.9593505859375,100.24282836914062,699.8851928710938,307.9105529785156,419.78228759765625,2018.5748291015625,4118.2685546875,121.35677337646484
2020-01-06,1626.1119384765625,720.8582763671875,392.668212890625,485.1588134765625,1191.285400390625,1769.88916015625,512.3737182617188,648.2735595703125,185.88226318359375,1647.572265625,1201.1226806640625,6761.93212890625,1360.2633056640625,100.29476165771484,683.6532592773438,294.3465881347656,415.3918151855469,2018.3914794921875,4057.654296875,121.86422729492188
2020-01-07,1642.5428466796875,723.3499755859375,393.7440185546875,487.0345458984375,1210.14892578125,1774.740234375,509.6447448730469,638.666015625,186.0799102783203,1665.817138671875,1204.5433349609375,6791.8896484375,1348.38427734375,99.56761932373047,694.1710205078125,293.79296875,421.4817199707031,2023.34521484375,4140.62060546875,123.33830261230469
2020-01-08,1646.734130859375,722.1041259765625,397.89990234375,488.28509521484375,1206.98095703125,1782.73291015625,512.617431640625,630.155029296875,185.17068481445312,1649.865234375,1178.1353759765625,6755.01904296875,1357.8668212890625,98.97032165527344,688.9576416015625,295.0847473144531,415.533447265625,2068.6572265625,4215.63232421875,123.14497375488281
2020-01-09,1688.407470703125,740.3934326171875,405.19482421875,483.7417907714844,1220.516845703125,1787.999755859375,532.4515380859375,638.3588256835938,186.4357147216797,1660.03466796875,1200.5753173828125,6940.04443359375,1381.6629638671875,100.21685791015625,704.8253173828125,304.6810302734375,415.2973937988281,2031.1409912109375,4283.03076171875,122.58918762207031
2020-01-10,1707.4578857421875,737.6027221679688,407.2236328125,483.7834777832031,1231.364501953125,1805.509765625,526.554931640625,647.6593627929688,188.17515563964844,1679.625244140625,1208.2830810546875,7038.55810546875,1385.663330078125,99.80133819580078,704.6659545898438,306.5726013183594,418.8380432128906,2030.4078369140625,4338.27734375,121.67091369628906
2020-01-13,1719.2215576171875,734.9614868164062,409.15423583984375,488.9101867675781,1234.532470703125,1843.2554931640625,524.9467163085938,678.7196655273438,189.16346740722656,1686.0059814453125,1217.496337890625,7059.87451171875,1383.0592041015625,101.17772674560547,702.8674926757812,305.18853759765625,419.78228759765625,2009.12744140625,4361.80029296875,123.14497375488281
2020-01-14,1732.79541015625,745.4267578125,411.95428466796875,495.4122314453125,1237.892333984375,1856.1453857421875,523.9720458984375,680.5621337890625,192.32608032226562,1671.749267578125,1209.6513671875,7092.6162109375,1402.9066162109375,101.41146087646484,696.3565063476562,302.6510314941406,421.10406494140625,2024.3079833984375,4376.05126953125,124.3049087524414
2020-01-15,1754.798583984375,743.83203125,413.3543395996094,496.62109375,1232.8524169921875,1868.0186767578125,522.022705078125,673.4551391601562,191.6540069580078,1670.552734375,1207.3712158203125,7184.93701171875,1402.114013671875,100.8920669555664,693.8295288085938,299.19085693359375,423.98382568359375,2042.652587890625,4398.69580078125,119.97935485839844
2020-01-16,1748.0357666015625,734.86181640625,414.6315612792969,494.5370178222656,1236.1163330078125,1893.521240234375,523.533447265625,672.97265625,190.3494415283203,1696.424560546875,1203.4486083984375,7165.44580078125,1448.7906494140625,102.03472900390625,700.2266235351562,298.31427001953125,423.98382568359375,2053.568603515625,4365.36328125,121.04261779785156
2020-01-17,1743.1778564453125,737.4531860351562,415.76141357421875,499.16363525390625,1226.9967041015625,1903.7313232421875,518.562744140625,673.7184448242188,189.71693420410156,1692.98486328125,1189.6744384765625,7220.65576171875,1456.7681884765625,102.52816009521484,719.8507080078125,293.42388916015625,429.22406005859375,2035.4981689453125,4379.41845703125,121.35677337646484
2020-01-20,1760.989990234375,724.7952270507812,407.9850769042969,491.2026062011719,1204.6771240234375,1906.0877685546875,521.2918090820312,674.2449340820312,191.25869750976562,1613.026611328125,1194.600341796875,7152.9150390625,1454.673583984375,106.29374694824219,697.69970703125,289.7330017089844,424.36151123046875,1990.781982421875,4360.7744140625,119.8585433959961
2020-01-21,1724.7939453125,715.2269287109375,406.6095886230469,486.867919921875,1194.54931640625,1899.2037353515625,517.5880737304688,669.0242919921875,188.5309295654297,1620.204833984375,1187.9869384765625,7011.81689453125,1441.794189453125,104.1902084350586,698.4054565429688,289.4562072753906,422.4259033203125,1991.423828125,4376.29443359375,119.42356872558594
