,ASIANPAINT.NS,AXISBANK.NS,BAJFINANCE.NS,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NESTLEIND.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,ULTRACEMCO.NS,WIPRO.NS
count,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0
mean,2667.9201290792203,842.9224095643666,624.7195102705726,1071.9467702717798,1459.2154984702922,2322.8356914675105,829.1988134180048,1353.4758071280053,296.59485775430267,1766.53030622982,2169.5608704288948,8809.537083069074,1968.6280765322301,177.81917572021484,1124.5118879367506,503.07922801338,1004.3918656352702,3195.654511196235,7538.082097375173,220.88090808488346
std,515.0684094680644,234.9535016621461,161.49758013770986,387.52550071698454,235.0021802139146,232.31751056330137,299.6135793556918,338.98504521771696,118.14465492252427,204.01450186705392,966.2124860456089,2262.8283650382277,346.4418082998557,78.77983128690691,229.48932114121766,200.9249848384535,452.2733013112188,653.6341413069191,2474.5592873592104,60.39166142046817
min,1433.05322265625,302.1474609375,182.025634765625,340.5547790527344,736.9755859375,1704.711181640625,276.80072021484375,461.9119873046875,115.38015747070312,1094.9417724609375,654.78076171875,3851.739501953125,1221.375,74.8704833984375,400.08612060546875,139.19180297851562,308.5981750488281,1515.3631591796875,2945.901611328125,79.46403503417969
25%,2307.0819091796875,700.2267150878906,550.5753173828125,828.9598083496094,1360.013671875,2168.4501953125,615.0776062011719,1211.9730834960938,179.51768493652344,1722.9429321289062,1418.66357421875,6984.475341796875,1673.7935791015625,117.78531646728516,976.2371520996094,372.50067138671875,642.1354370117188,2958.06884765625,6077.53515625,190.18338775634766
50%,2832.962646484375,801.1419067382812,671.2307739257812,1011.2716064453125,1474.5640869140625,2338.89990234375,839.503173828125,1403.5911865234375,299.44110107421875,1786.242431640625,1882.8072509765625,8405.9580078125,1878.3519287109375,153.2920379638672,1149.68603515625,499.4603271484375,901.9727783203125,3255.5419921875,7214.00244140625,214.80661010742188
75%,3056.43994140625,1036.7752685546875,726.1021728515625,1372.19775390625,1615.96337890625,2494.466796875,1014.2435913085938,1569.8576049804688,414.30145263671875,1881.9000244140625,3259.2237548828125,10646.78759765625,2250.574951171875,252.57483673095703,1256.9421997070312,629.9738464355469,1428.28564453125,3591.0604248046875,9724.68017578125,264.0775604248047
max,3465.6552734375,1317.300048828125,960.75,1965.7421875,1978.9000244140625,3016.538330078125,1460.5999755859375,1971.954345703125,505.3164367675781,2268.800048828125,3910.826416015625,13495.599609375,2737.96630859375,356.1138610839844,1595.4849853515625,887.8229370117188,1937.026123046875,4491.94189453125,12237.0,353.14630126953125
