Date,ASIANPAINT.NS,AXISBANK.NS,BAJFINANCE.NS,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NESTLEIND.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,ULTRACEMCO.NS,WIPRO.NS
2020-01-01,1708.076904296875,746.22412109375,421.1072082519531,478.38812255859375,1227.4287109375,1795.8214111328125,523.1436767578125,646.518798828125,186.5671844482422,1669.0074462890625,1194.9195556640625,7020.50732421875,1394.457275390625,101.54131317138672,683.185302734375,308.6026306152344,410.0571594238281,1988.2589111328125,3967.75732421875,120.7520523071289
2020-01-02,1705.6480712890625,754.4468383789062,422.5751647949219,479.726318359375,1235.25244140625,1797.21240234375,526.89599609375,644.6324462890625,187.9384307861328,1666.5150146484375,1227.16552734375,7037.9345703125,1389.7677001953125,101.33354949951172,694.816162109375,313.0777282714844,410.67095947265625,1979.1324462890625,4143.25634765625,121.04454803466797
2020-01-03,1668.260986328125,740.4931640625,417.3403015136719,489.3451843261719,1217.636962890625,1787.3826904296875,525.1903686523438,654.5470581054688,186.8805694580078,1652.1083984375,1217.815673828125,6965.34521484375,1376.9591064453125,100.24283599853516,695.6533813476562,307.9105529785156,419.78228759765625,2018.57470703125,4118.26904296875,122.40953826904297
2020-01-06,1626.112060546875,720.8582153320312,397.7593688964844,486.7940368652344,1191.285400390625,1776.2545166015625,512.373779296875,648.2734985351562,184.21646118164062,1647.572265625,1201.12255859375,6761.93212890625,1360.2635498046875,100.29475402832031,679.5195922851562,294.3465881347656,415.3918762207031,2018.3914794921875,4057.654541015625,122.92139434814453
2020-01-07,1642.543212890625,723.3499755859375,398.8491516113281,488.6761169433594,1210.1490478515625,1781.1231689453125,509.6447448730469,638.6659545898438,184.412353515625,1665.817138671875,1204.5433349609375,6791.890625,1348.38427734375,99.567626953125,689.9737548828125,293.79296875,421.4818115234375,2023.3446044921875,4140.62109375,124.40824890136719
2020-01-08,1646.734130859375,722.1040649414062,403.05889892578125,489.93072509765625,1206.9810791015625,1789.14453125,512.617431640625,630.1550903320312,183.51123046875,1649.8651123046875,1178.135498046875,6755.01904296875,1357.866943359375,98.9703140258789,684.7919311523438,295.0847473144531,415.5334167480469,2068.657470703125,4215.63232421875,124.2132568359375
2020-01-09,1688.4075927734375,740.3934326171875,410.44842529296875,485.3721923828125,1220.5169677734375,1794.4305419921875,532.4515380859375,638.3588256835938,184.76495361328125,1660.0345458984375,1200.5751953125,6940.04443359375,1381.662841796875,100.21685791015625,700.5636596679688,304.6810302734375,415.29736328125,2031.141357421875,4283.03076171875,123.65263366699219
2020-01-10,1707.4578857421875,737.6027221679688,412.5035400390625,485.4140319824219,1231.3643798828125,1812.003173828125,526.554931640625,647.6594848632812,186.4888153076172,1679.625244140625,1208.283447265625,7038.55908203125,1385.6630859375,99.80135345458984,700.4052124023438,306.57257080078125,418.83807373046875,2030.4078369140625,4338.27685546875,122.72640228271484
2020-01-13,1719.2216796875,734.9615478515625,414.45916748046875,490.5580139160156,1234.532470703125,1849.884765625,524.94677734375,678.7197265625,187.46824645996094,1686.0059814453125,1217.496337890625,7059.8740234375,1383.0592041015625,101.17774200439453,698.61767578125,305.1885070800781,419.78228759765625,2009.126953125,4361.80078125,124.2132568359375
2020-01-14,1732.79541015625,745.4267578125,417.2955017089844,497.0821533203125,1237.8924560546875,1862.8209228515625,523.9720458984375,680.5623168945312,190.60252380371094,1671.7491455078125,1209.651611328125,7092.6162109375,1402.9063720703125,101.41146850585938,692.1461181640625,302.6510314941406,421.1041259765625,2024.3074951171875,4376.05078125,125.38325500488281
2020-01-15,1754.7984619140625,743.8319702148438,418.7137145996094,498.2946472167969,1232.8525390625,1874.7373046875,522.022705078125,673.4551391601562,189.93650817871094,1670.5526123046875,1207.37109375,7184.93701171875,1402.1138916015625,100.89207458496094,689.6343383789062,299.19085693359375,423.98382568359375,2042.652587890625,4398.69580078125,121.02017974853516
2020-01-16,1748.0357666015625,734.86181640625,420.0074768066406,496.2037658691406,1236.116455078125,1900.3314208984375,523.5335693359375,672.9725952148438,188.6436004638672,1696.424560546875,1203.44873046875,7165.4453125,1448.7906494140625,102.03472900390625,695.9927368164062,298.31427001953125,423.98382568359375,2053.568603515625,4365.36279296875,122.09266662597656
2020-01-17,1743.1781005859375,737.4531860351562,421.1519775390625,500.84588623046875,1226.99658203125,1910.5784912109375,518.562744140625,673.7183837890625,188.01678466796875,1692.98486328125,1189.674560546875,7220.65576171875,1456.7681884765625,102.52816772460938,715.4982299804688,293.4238586425781,429.2240905761719,2035.4986572265625,4379.41796875,122.40953826904297
2020-01-20,1760.990234375,724.795166015625,413.27484130859375,492.8581848144531,1204.67724609375,1912.943359375,521.291748046875,674.2449340820312,189.54469299316406,1613.0264892578125,1194.600341796875,7152.9150390625,1454.673583984375,106.29375457763672,693.4811401367188,289.7330017089844,424.36151123046875,1990.781982421875,4360.775390625,120.89830780029297
2020-01-21,1724.7940673828125,715.2269897460938,411.8815002441406,488.5086364746094,1194.5494384765625,1906.0347900390625,517.588134765625,669.0244140625,186.84140014648438,1620.204833984375,1187.9873046875,7011.81689453125,1441.7943115234375,104.19021606445312,694.1826171875,289.4562072753906,422.42596435546875,1991.423828125,4376.29443359375,120.45956420898438
